Date,Region,Category,Supplier,Warehouse,Order Status,Units Sold,Inventory Level,Transportation Cost,Order Accuracy,Lead Time (Days),Backorder,Cost of Goods Sold (COGS),Average Inventory,Warehouse Capacity
09-05-2020,North,Clothing,Supplier C,Warehouse 3,Pending,423.0,4912,3248.554874,True,13.0,False,79226.47623,4494.0,5993
10-05-2020,East,Accessories,Supplier A,Warehouse 2,Fulfilled,63.0,4076,11003.60216,True,5.0,False,8603.620577,3084.5,6145
11-05-2020,East,Accessories,Supplier D,Warehouse 2,Fulfilled,799.0,2093,4314.660434,True,15.0,False,39045.0225,1258.5,5460
12-05-2020,East,Accessories,Supplier B,Warehouse 3,Fulfilled,587.0,424,7714.175082,True,20.0,False,43435.24314,1866.5,9462
13-05-2020,West,Accessories,Supplier C,Warehouse 1,Pending,358.0,3309,1812.196511,True,3.0,False,39042.15652,3242.0,8444
14-05-2020,East,Clothing,Supplier D,Warehouse 2,Fulfilled,84.0,3175,10612.99351,True,18.0,False,13657.59734,3590.0,8508
15-05-2020,East,Electronics,Supplier B,Warehouse 2,Fulfilled,196.0,4005,9228.729618,True,21.0,False,22907.49743,2698.5,5616
16-05-2020,South,Electronics,Supplier C,Warehouse 2,Pending,764.0,1392,3787.64629,True,25.0,False,,3122.0,6653
17-05-2020,North,Clothing,Supplier C,Warehouse 2,Canceled,488.0,4852,,True,29.0,False,80063.67982,2819.5,5258
18-05-2020,South,Furniture,Supplier D,Warehouse 2,Fulfilled,810.0,787,6402.613301,True,16.0,False,155560.135,2025.5,8473
19-05-2020,North,Accessories,Supplier A,Warehouse 2,Pending,160.0,3264,4210.151842,True,12.0,False,7001.110343,2871.5,8555
20-05-2020,,Accessories,Supplier D,Warehouse 2,Fulfilled,163.0,2479,9340.491388,False,5.0,False,17772.09256,1543.5,5993
21-05-2020,South,Furniture,Supplier D,Warehouse 2,Canceled,544.0,608,7117.994876,True,7.0,False,40525.0421,2171.0,8109
22-05-2020,North,Clothing,Supplier D,Warehouse 3,Fulfilled,637.0,3734,1504.915337,True,10.0,False,73669.383,4001.5,7059
23-05-2020,West,Accessories,Supplier B,Warehouse 3,Fulfilled,880.0,4269,14244.01991,True,7.0,False,93875.84852,3315.0,8933
24-05-2020,West,Electronics,Supplier B,Warehouse 1,Fulfilled,224.0,2361,13981.97998,True,24.0,False,38461.18176,2944.5,6135
25-05-2020,West,Clothing,Supplier B,Warehouse 3,Fulfilled,419.0,3528,8465.232295,True,11.0,False,60470.18172,4024.5,6287
26-05-2020,North,Furniture,Supplier A,Warehouse 2,Fulfilled,862.0,4521,12357.93224,True,18.0,False,44424.39863,2861.0,6275
27-05-2020,South,Clothing,Supplier A,Warehouse 1,Fulfilled,,1201,6852.61894,True,19.0,False,7617.784585,2577.5,8045
28-05-2020,North,Furniture,Supplier D,Warehouse 1,Fulfilled,,3954,11277.76989,True,21.0,True,136368.7976,3328.5,5726
29-05-2020,West,Clothing,Supplier D,Warehouse 3,Fulfilled,416.0,2703,5512.025565,True,17.0,False,25875.5298,1610.0,9326
30-05-2020,South,Accessories,Supplier B,Warehouse 1,Fulfilled,899.0,517,1531.105269,True,29.0,False,122327.7816,1933.5,5179
31-05-2020,West,Furniture,Supplier A,Warehouse 3,Pending,167.0,3350,4644.701006,False,,False,26062.89251,3929.5,8868
01-06-2020,North,Electronics,Supplier A,Warehouse 1,Fulfilled,197.0,4509,14603.98678,True,22.0,False,24967.37181,4374.5,8831
02-06-2020,North,Accessories,Supplier A,Warehouse 1,Pending,,4240,11623.97542,True,28.0,True,33931.89301,3948.5,5873
03-06-2020,North,Accessories,Supplier D,Warehouse 1,Fulfilled,758.0,3657,11802.50374,True,21.0,False,70439.51289,2233.0,5467
04-06-2020,East,Accessories,Supplier A,Warehouse 2,Fulfilled,318.0,809,9952.087358,True,17.0,True,38176.30952,513.5,5931
05-06-2020,South,Clothing,Supplier D,Warehouse 1,Fulfilled,478.0,218,8105.258326,False,29.0,False,47059.70534,1170.0,5090
06-06-2020,East,Furniture,Supplier A,Warehouse 1,Fulfilled,655.0,2122,4932.680969,True,6.0,False,22700.3245,3410.0,5683
07-06-2020,South,Accessories,Supplier A,Warehouse 1,Fulfilled,536.0,4698,3412.719112,True,27.0,False,103533.1724,3420.0,8494
08-06-2020,West,Electronics,Supplier A,Warehouse 3,Fulfilled,481.0,2142,6629.187258,True,,False,44693.74216,1872.0,9889
09-06-2020,East,Electronics,Supplier B,Warehouse 1,Fulfilled,841.0,1602,9057.476218,True,,False,143001.2294,1009.5,6172
10-06-2020,West,Electronics,Supplier A,Warehouse 3,Canceled,567.0,417,10110.39312,True,22.0,False,36611.98363,1445.5,5025
11-06-2020,North,Furniture,Supplier B,Warehouse 1,Pending,,2474,8191.151195,True,10.0,False,145928.6664,2319.0,5980
12-06-2020,South,Clothing,Supplier B,Warehouse 2,Pending,971.0,2164,10255.97538,True,16.0,False,149515.1934,3472.5,5762
13-06-2020,North,Electronics,Supplier A,Warehouse 3,Fulfilled,372.0,4781,1327.874027,True,22.0,False,73748.18724,3131.0,7201
14-06-2020,,Accessories,Supplier D,Warehouse 3,Fulfilled,298.0,1481,9278.945037,True,15.0,False,59564.05699,2219.0,9362
15-06-2020,South,Clothing,Supplier A,Warehouse 2,Fulfilled,863.0,2957,1757.855215,True,19.0,False,130185.014,3665.0,8369
16-06-2020,East,Furniture,Supplier A,Warehouse 2,Fulfilled,117.0,4373,3332.704932,True,12.0,False,12284.48648,2815.5,9641
17-06-2020,East,Accessories,Supplier C,Warehouse 3,Fulfilled,530.0,1258,11838.02241,True,3.0,False,91308.72659,722.5,7226
18-06-2020,East,Electronics,Supplier D,Warehouse 3,Fulfilled,781.0,187,13544.20862,True,9.0,False,106400.8806,2225.0,9750
19-06-2020,East,Electronics,Supplier B,Warehouse 3,Pending,517.0,4263,,True,1.0,False,29422.42699,3872.5,9270
20-06-2020,South,Clothing,Supplier D,Warehouse 2,Pending,281.0,3482,4246.693394,False,7.0,True,15548.20658,3153.5,9908
21-06-2020,South,Clothing,Supplier D,Warehouse 3,Canceled,186.0,2825,7383.456343,True,1.0,False,31065.37835,1664.0,8797
22-06-2020,South,Accessories,Supplier D,Warehouse 3,Fulfilled,160.0,503,8041.955293,True,21.0,False,15654.48396,1976.5,8246
23-06-2020,South,Clothing,Supplier B,Warehouse 1,Pending,,3450,3578.023972,True,24.0,False,101751.2752,3390.0,5088
24-06-2020,South,Furniture,Supplier D,Warehouse 2,Pending,204.0,3330,14194.72347,True,4.0,False,8340.158455,2301.5,8804
25-06-2020,South,Furniture,Supplier B,Warehouse 2,Fulfilled,105.0,1273,8485.012126,True,2.0,False,10800.37368,2069.0,6647
26-06-2020,West,Clothing,Supplier B,Warehouse 2,Fulfilled,228.0,2865,6972.141402,True,20.0,False,21437.91291,2603.0,7818
27-06-2020,West,Electronics,Supplier A,Warehouse 2,Fulfilled,141.0,2341,13577.68879,True,1.0,False,16950.79011,2962.0,7316
28-06-2020,South,Furniture,Supplier C,Warehouse 2,Fulfilled,490.0,3583,11652.06228,True,27.0,False,54851.85709,3611.0,8902
29-06-2020,East,Accessories,Supplier D,Warehouse 2,Fulfilled,368.0,3639,922.2948823,True,29.0,False,57934.37809,2383.0,6655
30-06-2020,East,Clothing,Supplier D,Warehouse 3,Canceled,493.0,1127,13681.40687,True,21.0,False,19145.55899,1716.0,5198
01-07-2020,East,Clothing,Supplier A,Warehouse 1,Fulfilled,364.0,2305,6159.723799,True,8.0,False,26091.38895,3104.0,5034
02-07-2020,South,Furniture,Supplier C,Warehouse 2,Fulfilled,707.0,3903,7501.738745,False,17.0,False,71317.38617,3219.5,7941
03-07-2020,South,Furniture,Supplier C,Warehouse 2,Fulfilled,845.0,2536,9435.489415,True,8.0,False,32790.34114,3662.5,8321
04-07-2020,North,Furniture,Supplier D,Warehouse 3,Fulfilled,895.0,4789,10579.23733,False,29.0,False,156015.5124,3741.5,5059
05-07-2020,North,Electronics,Supplier A,Warehouse 3,Fulfilled,604.0,2694,3069.618325,True,,False,65705.43288,2036.0,5434
06-07-2020,East,Clothing,Supplier C,Warehouse 1,Canceled,190.0,1378,5665.623472,True,4.0,False,28148.79219,1760.0,5565
07-07-2020,East,Electronics,,Warehouse 1,Fulfilled,239.0,2142,4123.370293,True,12.0,False,46901.02802,2341.0,9302
08-07-2020,East,Furniture,Supplier D,Warehouse 2,Fulfilled,579.0,2540,4661.308592,True,26.0,False,81933.35898,2032.5,6389
09-07-2020,East,Electronics,Supplier D,Warehouse 1,Canceled,74.0,1525,10925.78193,True,14.0,False,10497.63474,1707.0,9605
10-07-2020,West,Furniture,Supplier A,Warehouse 1,Pending,476.0,1889,5425.542968,True,9.0,False,20858.08205,1745.5,5604
11-07-2020,North,Accessories,Supplier A,Warehouse 2,Fulfilled,183.0,1602,6845.871389,True,5.0,False,6860.604624,2285.5,9046
12-07-2020,North,Clothing,Supplier B,Warehouse 3,Fulfilled,220.0,2969,7776.395445,True,8.0,False,26181.53414,2338.0,8825
13-07-2020,East,Furniture,Supplier A,Warehouse 3,Fulfilled,840.0,1707,13170.02301,True,7.0,True,95831.82641,2141.0,7963
14-07-2020,South,Furniture,Supplier A,Warehouse 3,Fulfilled,938.0,2575,13732.69051,True,5.0,False,153675.5561,1831.5,5828
15-07-2020,South,Accessories,Supplier A,Warehouse 2,Fulfilled,469.0,1088,10100.62147,True,12.0,False,43290.7178,933.0,7259
16-07-2020,North,Clothing,Supplier B,Warehouse 3,Fulfilled,986.0,778,7794.13434,False,,False,26539.78359,1390.5,8071
17-07-2020,West,Electronics,Supplier B,Warehouse 2,Canceled,895.0,2003,13920.95363,True,,False,142263.4704,2521.0,9379
18-07-2020,South,Electronics,Supplier A,Warehouse 2,Fulfilled,417.0,3039,5955.325986,True,4.0,False,38229.63991,3668.5,9899
19-07-2020,North,Electronics,Supplier A,Warehouse 2,Pending,543.0,4298,1370.118793,True,15.0,False,66273.28811,3124.0,9304
20-07-2020,West,Furniture,Supplier A,Warehouse 2,Pending,715.0,1950,12471.24966,True,24.0,False,19932.66453,1560.0,9654
21-07-2020,South,Electronics,Supplier A,Warehouse 1,Fulfilled,749.0,1170,14634.16273,True,9.0,False,122385.261,1407.5,5652
22-07-2020,East,Electronics,Supplier C,Warehouse 3,Canceled,514.0,1645,9733.911232,False,28.0,False,61069.01511,2112.5,9765
23-07-2020,East,Accessories,Supplier D,Warehouse 3,Fulfilled,394.0,2580,2956.62483,True,13.0,False,76081.40748,2726.0,8838
24-07-2020,South,Furniture,Supplier B,Warehouse 2,Fulfilled,,2872,7059.119058,True,13.0,False,1877.423401,3182.0,9359
25-07-2020,South,Furniture,Supplier C,Warehouse 3,Pending,355.0,3492,8471.585993,True,22.0,False,19857.54822,2345.5,5230
26-07-2020,South,Electronics,Supplier B,Warehouse 1,Pending,418.0,1199,11338.93807,True,29.0,False,81285.66331,2070.5,5314
31-12-2021,South,Accessories,Supplier A,Warehouse 3,Canceled,761.0,2942,5446.665224,True,15.0,False,29801.19072,2395.5,7334
01-01-2022,South,Accessories,Supplier C,Warehouse 1,Pending,671.0,1849,10012.01964,True,7.0,False,35673.65153,1183.5,5453
02-01-2022,East,Accessories,Supplier B,Warehouse 1,Fulfilled,257.0,518,2191.992239,True,21.0,False,21007.89594,1331.0,8165
03-01-2022,West,Furniture,Supplier B,Warehouse 1,Fulfilled,,2144,12371.82875,True,26.0,False,60100.22265,1581.5,6730
04-01-2022,East,Accessories,Supplier A,Warehouse 1,Fulfilled,315.0,1019,3254.02511,False,1.0,False,43448.26052,1533.0,7140
05-01-2022,West,Clothing,Supplier C,Warehouse 3,Fulfilled,,2047,10308.84608,True,22.0,False,,2741.5,5329
06-01-2022,South,Electronics,Supplier B,Warehouse 1,Canceled,477.0,3436,6348.782423,False,26.0,False,18706.09854,2917.5,8781
07-01-2022,West,Electronics,Supplier B,Warehouse 1,Fulfilled,162.0,2399,9314.010949,True,,False,15137.03166,1905.0,6743
08-01-2022,West,Electronics,Supplier C,Warehouse 1,Canceled,457.0,1411,9107.904484,True,27.0,False,20222.10381,2458.5,5659
09-01-2022,North,Furniture,,Warehouse 1,Fulfilled,839.0,3506,13280.44982,True,8.0,False,117430.329,4171.0,7261
10-01-2022,North,Accessories,Supplier A,Warehouse 3,Fulfilled,474.0,4836,4606.676715,True,13.0,False,71082.84395,2572.0,5851
11-01-2022,South,Clothing,Supplier B,Warehouse 3,Fulfilled,275.0,308,523.2172195,True,20.0,False,41251.30462,2045.0,7363
12-01-2022,West,Accessories,Supplier A,Warehouse 2,Pending,663.0,3782,8532.564273,False,12.0,False,31865.2544,3834.0,5107
13-01-2022,North,Accessories,Supplier A,Warehouse 3,Fulfilled,888.0,3886,4635.570297,True,16.0,False,119331.4756,2164.5,5585
14-01-2022,North,Furniture,Supplier C,Warehouse 1,Pending,64.0,443,875.4930186,True,18.0,False,12210.9115,2718.0,7072
15-01-2022,East,Clothing,Supplier B,Warehouse 2,Fulfilled,376.0,4993,4251.22352,True,12.0,False,24751.95941,2810.5,9244
16-01-2022,North,Furniture,Supplier B,Warehouse 2,Fulfilled,382.0,628,4771.748328,True,1.0,False,25252.93486,753.5,6211
17-01-2022,South,Electronics,Supplier D,Warehouse 3,Fulfilled,383.0,879,7513.85057,True,23.0,False,32229.00476,850.5,9069
18-01-2022,North,Clothing,Supplier C,Warehouse 3,Canceled,877.0,822,5100.690265,True,6.0,False,68251.08497,1441.5,8675
19-01-2022,South,Accessories,Supplier C,Warehouse 3,Fulfilled,58.0,2061,11378.94153,True,19.0,False,9267.608954,2010.5,9898
20-01-2022,North,Electronics,Supplier C,Warehouse 2,Fulfilled,545.0,1960,11282.2365,False,16.0,False,63813.1111,3084.5,7987
21-01-2022,North,Accessories,Supplier A,Warehouse 1,Fulfilled,244.0,4209,3989.883051,True,15.0,False,18097.82398,2998.0,7363
22-01-2022,East,Clothing,Supplier D,Warehouse 2,Pending,382.0,1787,10243.654,True,27.0,True,19053.77912,1096.5,7479
23-01-2022,South,Electronics,Supplier B,Warehouse 3,Fulfilled,65.0,406,10597.25527,True,7.0,False,2047.762455,1374.5,8898
24-01-2022,South,Electronics,Supplier C,Warehouse 1,Pending,904.0,2343,14699.31773,True,21.0,False,125130.874,2217.5,6187
25-01-2022,North,Electronics,Supplier D,Warehouse 2,Fulfilled,185.0,2092,8025.814557,False,21.0,False,23520.16602,2262.0,6782
26-01-2022,North,Accessories,Supplier A,Warehouse 1,Pending,606.0,2432,5377.708989,True,27.0,False,115437.2154,2653.5,7648
27-01-2022,North,Electronics,Supplier C,Warehouse 2,Fulfilled,500.0,2875,8604.821984,True,14.0,False,57311.74503,1589.0,5854
28-01-2022,East,Accessories,Supplier B,Warehouse 2,Fulfilled,646.0,303,14573.04273,True,23.0,False,60688.90103,2197.5,9854
29-01-2022,North,Accessories,,Warehouse 2,Fulfilled,740.0,4092,9539.470104,True,22.0,False,100686.5078,3825.5,9893
30-01-2022,East,Electronics,Supplier B,Warehouse 2,Fulfilled,949.0,3559,10861.15402,True,,False,138418.8263,4091.5,6454
31-01-2022,South,Clothing,Supplier D,Warehouse 3,Fulfilled,224.0,4624,1389.48618,True,8.0,True,5228.272129,2914.0,5850
01-02-2022,North,Clothing,Supplier D,Warehouse 3,Pending,389.0,1204,7745.406839,True,13.0,True,25455.23221,2057.0,8728
02-02-2022,East,Clothing,Supplier D,Warehouse 2,Fulfilled,171.0,2910,13085.51631,True,23.0,False,24087.4782,1883.5,6339
03-02-2022,North,Accessories,Supplier A,Warehouse 1,Fulfilled,569.0,857,13916.67882,True,29.0,False,31472.81776,2737.5,5027
04-02-2022,North,Electronics,Supplier D,Warehouse 2,Fulfilled,953.0,4618,3696.349331,True,8.0,False,134277.5955,3135.0,9033
05-02-2022,West,Furniture,Supplier D,Warehouse 2,Fulfilled,116.0,1652,5228.537821,True,16.0,False,17087.75414,3210.5,9458
06-02-2022,South,Accessories,Supplier C,Warehouse 3,Fulfilled,196.0,4769,2174.835059,False,1.0,False,17215.47908,2721.5,6630
07-02-2022,East,Clothing,Supplier A,Warehouse 3,Pending,398.0,674,3872.756001,True,24.0,False,38998.08321,515.5,8218
08-02-2022,West,Furniture,Supplier A,Warehouse 1,Fulfilled,638.0,357,12946.3564,True,3.0,False,71223.12694,1723.5,7533
09-02-2022,North,Accessories,Supplier D,Warehouse 2,Fulfilled,343.0,3090,5712.237017,True,26.0,False,60128.56481,3784.0,9873
10-02-2022,North,Accessories,Supplier C,Warehouse 3,Fulfilled,672.0,4478,1660.264911,True,25.0,False,121999.5297,2809.0,5235
11-02-2022,East,Clothing,Supplier D,Warehouse 1,Fulfilled,445.0,1140,11164.22116,True,15.0,False,27504.48464,1808.0,5405
12-02-2022,East,Furniture,Supplier D,Warehouse 1,Fulfilled,567.0,2476,11081.67242,True,24.0,True,75902.46896,1445.0,8444
13-02-2022,North,Furniture,Supplier A,Warehouse 3,Fulfilled,84.0,414,13662.3866,False,24.0,False,11800.28742,2069.5,7826
14-02-2022,South,Electronics,Supplier D,Warehouse 3,Canceled,78.0,3725,10304.28134,True,9.0,False,,2263.5,8484
15-02-2022,North,Electronics,Supplier D,Warehouse 2,Fulfilled,397.0,802,14416.8649,True,13.0,True,30631.8127,2045.5,7417
16-02-2022,North,Accessories,Supplier D,Warehouse 3,Fulfilled,827.0,3289,7339.63212,True,23.0,False,88254.17281,1946.0,9645
17-02-2022,North,Furniture,Supplier C,Warehouse 3,Fulfilled,388.0,603,9596.054987,True,19.0,False,29558.42346,1512.5,5524
18-02-2022,East,Electronics,Supplier C,Warehouse 1,Fulfilled,436.0,2422,11189.67874,True,17.0,False,47476.24462,2539.0,6719
19-02-2022,East,Clothing,Supplier B,Warehouse 1,Fulfilled,928.0,2656,8287.710106,True,24.0,False,92476.78376,1802.0,8138
20-02-2022,South,Accessories,Supplier B,Warehouse 1,Fulfilled,172.0,948,3536.556227,True,15.0,False,8522.014048,1648.0,5571
21-02-2022,North,Clothing,Supplier D,Warehouse 1,Pending,974.0,2348,11334.924,True,7.0,False,160850.2078,1410.0,9802
22-02-2022,East,Electronics,Supplier A,Warehouse 1,Fulfilled,832.0,472,9643.062448,True,18.0,False,116670.2069,2312.0,8284
23-02-2022,South,Furniture,Supplier A,Warehouse 1,Pending,939.0,4152,12892.7881,True,16.0,False,64415.74561,4094.5,9967
24-02-2022,North,Electronics,Supplier C,Warehouse 3,Canceled,856.0,4037,1817.709806,True,1.0,False,154058.046,3434.0,6779
25-02-2022,East,Electronics,Supplier A,Warehouse 3,Fulfilled,300.0,2831,941.638217,True,14.0,False,6117.941103,3503.5,5746
26-02-2022,North,Accessories,Supplier C,Warehouse 1,Fulfilled,379.0,4176,13174.58221,True,16.0,False,60206.95385,2636.5,6267
27-02-2022,East,Furniture,Supplier C,Warehouse 3,Fulfilled,492.0,1097,3496.326181,True,8.0,False,53742.18491,2764.5,5466
28-02-2022,West,Furniture,Supplier A,Warehouse 3,Fulfilled,,4432,13885.94632,True,14.0,False,105765.3043,4633.0,9189
01-03-2022,South,Accessories,Supplier C,Warehouse 3,Pending,102.0,4834,5558.621041,True,14.0,False,6167.564835,3055.0,8728
02-03-2022,North,Electronics,Supplier D,Warehouse 3,Fulfilled,603.0,1276,4550.505269,True,1.0,False,114989.5002,2385.0,6320
03-03-2022,South,Furniture,Supplier C,Warehouse 3,Fulfilled,246.0,3494,8614.444407,True,14.0,False,10127.31102,2072.5,5324
04-03-2022,North,Clothing,Supplier A,Warehouse 2,Canceled,776.0,651,4658.119725,True,12.0,True,105723.9972,2795.5,5422
05-03-2022,West,Electronics,Supplier B,Warehouse 3,Fulfilled,502.0,4940,10046.79413,True,29.0,False,33580.35637,4706.0,6398
06-03-2022,East,Clothing,Supplier C,Warehouse 2,Fulfilled,465.0,4472,1021.503465,True,10.0,False,30409.14424,4034.5,6586
07-03-2022,North,Accessories,Supplier B,Warehouse 1,Fulfilled,,3597,12696.05598,True,25.0,False,108893.1983,2553.5,9112
08-03-2022,North,Electronics,Supplier B,Warehouse 3,Fulfilled,478.0,1510,14759.1147,True,28.0,False,93606.82018,1413.0,5235
09-03-2022,East,Electronics,Supplier A,Warehouse 1,Canceled,314.0,1316,9311.441795,True,9.0,False,59100.0302,1411.5,8438
10-03-2022,South,Furniture,Supplier B,Warehouse 2,Fulfilled,482.0,1507,,True,,False,25780.31516,2860.5,5988
11-03-2022,South,Electronics,Supplier B,Warehouse 3,Fulfilled,680.0,4214,8102.566606,True,21.0,False,19115.29283,3063.0,7611
12-03-2022,West,Accessories,Supplier C,Warehouse 1,Fulfilled,228.0,1912,2605.762789,True,27.0,False,25023.9191,2800.0,8058
13-03-2022,South,Electronics,Supplier A,Warehouse 3,Fulfilled,269.0,3688,6464.28921,True,15.0,False,19097.93486,1971.5,6910
14-03-2022,South,Clothing,Supplier C,Warehouse 3,Fulfilled,273.0,255,13424.05207,True,15.0,False,6963.95409,2237.5,5600
15-03-2022,North,Furniture,Supplier C,Warehouse 3,Pending,461.0,4220,6933.670982,True,20.0,False,71660.21709,2506.5,7430
16-03-2022,East,Accessories,Supplier C,Warehouse 3,Fulfilled,728.0,793,6135.783885,True,27.0,False,51889.52294,1713.0,7083
17-03-2022,North,Furniture,Supplier C,Warehouse 2,Pending,959.0,2633,3954.036814,True,4.0,False,144262.039,3088.0,7394
18-03-2022,West,Accessories,Supplier D,Warehouse 1,Pending,912.0,3543,10736.78636,True,3.0,False,70992.99661,2312.5,8164
19-03-2022,East,Electronics,Supplier B,Warehouse 3,Fulfilled,193.0,1082,1454.074158,True,13.0,False,28964.7638,2245.5,8447
20-03-2022,South,Clothing,Supplier B,Warehouse 2,Fulfilled,812.0,3409,4515.841963,True,14.0,True,54459.80281,3842.0,6754
21-03-2022,South,Clothing,Supplier C,Warehouse 2,Fulfilled,616.0,4275,2873.297124,True,28.0,False,69478.36014,4298.5,5608
22-03-2022,North,Clothing,Supplier A,Warehouse 3,Pending,134.0,4322,12632.58045,True,24.0,False,,2256.5,8286
23-03-2022,East,Furniture,Supplier D,Warehouse 3,Fulfilled,234.0,191,7639.825508,True,8.0,False,39719.12525,1278.5,8552
24-03-2022,South,Clothing,Supplier B,Warehouse 2,Fulfilled,552.0,2366,4393.3213,True,25.0,False,12873.90993,3245.5,8709
25-03-2022,North,Furniture,Supplier C,Warehouse 2,Fulfilled,74.0,4125,2129.596018,True,,True,10224.20061,3036.5,8043
26-03-2022,North,Electronics,Supplier D,Warehouse 3,Fulfilled,475.0,1948,,True,21.0,False,16265.55425,1154.5,8781
27-03-2022,West,Electronics,Supplier A,Warehouse 3,Pending,183.0,361,6384.275337,True,11.0,False,28434.92629,1899.0,9152
28-03-2022,West,Clothing,Supplier B,Warehouse 1,Pending,432.0,3437,5716.946494,True,22.0,False,12098.5462,3706.0,9428
29-03-2022,North,Accessories,Supplier D,Warehouse 2,Fulfilled,221.0,3975,9633.149803,True,13.0,False,28738.20566,4045.5,7090
30-03-2022,West,Furniture,Supplier B,Warehouse 2,Fulfilled,499.0,4116,11049.66401,False,1.0,True,45364.07385,3921.0,5762
31-03-2022,North,Electronics,Supplier C,Warehouse 2,Fulfilled,71.0,3726,11369.40712,True,16.0,True,7708.759224,2135.5,5486
01-04-2022,North,Electronics,Supplier A,Warehouse 1,Pending,654.0,545,8331.150168,True,13.0,False,30162.43578,2100.0,5530
02-04-2022,North,Furniture,Supplier D,Warehouse 1,Fulfilled,147.0,3655,9519.133238,True,5.0,False,23664.03975,2974.5,9492
03-04-2022,North,Furniture,Supplier D,Warehouse 1,Fulfilled,930.0,2294,11429.63893,False,27.0,False,99302.45505,2880.5,9025
04-04-2022,East,Clothing,Supplier D,Warehouse 3,Fulfilled,245.0,3467,9924.305423,True,19.0,True,42674.65747,3541.5,8186
05-04-2022,South,Electronics,Supplier D,Warehouse 3,Canceled,771.0,3616,,False,,False,126241.5082,3291.5,8621
06-04-2022,East,Electronics,Supplier D,Warehouse 2,Canceled,940.0,2967,12048.55066,False,4.0,False,43387.54441,2796.5,5434
07-04-2022,West,Clothing,Supplier D,Warehouse 1,Fulfilled,629.0,2626,7011.709194,True,26.0,False,80951.06599,3185.5,5191
